,income,food,member,Engel_co,level
110,280120,125385,6,0.4476117378266457,Fairly well-off
111,117005,89572,8,0.7655399341908465,Poor
112,114220,81598,5,0.7143932761337769,Poor
113,298126,60346,3,0.20241776966785854,Prosperous
114,485633,138744,5,0.2856972240354342,Prosperous
115,92782,84402,4,0.909680757043392,Poor
116,136934,86715,6,0.6332612791563819,Poor
117,50561,21156,1,0.41842526848756945,Fairly well-off
118,109428,54897,3,0.5016723324925979,Adequate food and clothing
119,133765,91565,6,0.6845213620902328,Poor
120,128110,66834,2,0.521692295683397,Adequate food and clothing
121,111815,83929,6,0.7506059115503286,Poor
122,92715,61157,2,0.6596235776303726,Poor
123,146650,77453,4,0.5281486532560519,Adequate food and clothing
124,293200,116176,3,0.3962346521145975,Relatively prosperous
125,179704,78527,3,0.4369796999510306,Fairly well-off
126,152620,67808,4,0.4442930153321976,Fairly well-off
127,72175,75561,3,1.0469137512989262,Poor
128,105440,51361,4,0.48711115326251897,Fairly well-off
129,130495,71274,4,0.5461818460477413,Adequate food and clothing
130,130825,105283,7,0.8047620867571182,Poor
131,77635,39704,2,0.5114188188317125,Adequate food and clothing
132,111570,58107,3,0.5208120462489917,Adequate food and clothing
133,121160,78639,4,0.6490508418620007,Poor
134,96125,77282,5,0.8039739921976593,Poor
135,379828,92768,6,0.2442368651073644,Prosperous
136,146920,71753,8,0.48838143207187584,Fairly well-off
137,214700,69690,4,0.32459245458779695,Relatively prosperous
138,239598,75131,3,0.31357106486698555,Relatively prosperous
139,69635,17781,1,0.25534573131327637,Prosperous
140,116360,31647,1,0.2719749054657958,Prosperous
141,181498,61150,4,0.3369183131494562,Relatively prosperous
142,148690,76530,3,0.5146950030264308,Adequate food and clothing
143,129800,51564,3,0.3972573189522342,Relatively prosperous
144,163400,88741,6,0.5430905752753978,Adequate food and clothing
145,72120,67218,4,0.9320299500831947,Poor
146,259780,115255,6,0.44366386942797753,Fairly well-off
147,104905,47168,4,0.44962585196129834,Fairly well-off
148,63825,34183,2,0.5355738347042694,Adequate food and clothing
149,120090,84796,7,0.7061037555166958,Poor
150,301873,48761,4,0.16152819231928658,Wealthy
151,116643,60154,4,0.5157103298097614,Adequate food and clothing
152,183630,77020,5,0.41943037630016883,Fairly well-off
153,115855,65344,8,0.564015364032627,Adequate food and clothing
154,164342,75244,5,0.4578500930985384,Fairly well-off
155,155626,92403,9,0.5937504016038451,Adequate food and clothing
156,65490,24028,1,0.3668957092685906,Relatively prosperous
157,125396,87336,10,0.6964815464608122,Poor
158,145635,56417,4,0.3873862739039379,Relatively prosperous
159,188475,96122,7,0.5099986735641332,Adequate food and clothing
160,107420,78178,6,0.7277788121392664,Poor
161,116400,59311,4,0.5095446735395189,Adequate food and clothing
162,164315,63163,4,0.3844019109636978,Relatively prosperous
163,491010,87892,4,0.17900246430826255,Wealthy
164,113905,61535,6,0.5402308941661911,Adequate food and clothing
165,62255,54527,5,0.8758653923379648,Poor
166,98305,37688,4,0.3833782615329841,Relatively prosperous
167,117793,46384,7,0.3937755214656219,Relatively prosperous
168,329067,71267,4,0.21657291676163212,Prosperous
169,148580,40210,4,0.27062861757975504,Prosperous
170,164046,41911,3,0.25548321812174635,Prosperous
171,312610,61587,5,0.1970090528134097,Wealthy
172,134410,96729,2,0.719656275574734,Poor
173,541874,72496,5,0.13378755946954457,Wealthy
174,125695,88944,9,0.707617645888858,Poor
175,78480,29889,3,0.380848623853211,Relatively prosperous
176,163530,66330,7,0.40561364887176665,Fairly well-off
177,162480,50381,4,0.310075086164451,Relatively prosperous
178,151395,59989,5,0.39624161960434623,Relatively prosperous
179,95975,45212,5,0.4710810106798646,Fairly well-off
180,77275,34475,4,0.44613393723714007,Fairly well-off
181,96370,54271,6,0.5631524333298744,Adequate food and clothing
182,1051758,238375,8,0.2266443421395416,Prosperous
183,143650,102403,8,0.7128646014618866,Poor
184,211703,124068,4,0.586047434377406,Adequate food and clothing
185,101290,77440,2,0.7645374666798301,Poor
186,383617,124651,5,0.3249360690480349,Relatively prosperous
187,119143,93994,8,0.78891751928355,Poor
188,110848,84962,6,0.7664730080831409,Poor
189,131847,88115,6,0.6683125137469946,Poor
190,184738,67950,2,0.367818207407247,Relatively prosperous
191,115140,85771,6,0.744927913844016,Poor
192,120690,102806,7,0.8518187090894026,Poor
193,79995,63149,4,0.78941183823989,Poor
194,121986,76516,3,0.6272523076418606,Poor
195,134555,76259,4,0.5667496562743859,Adequate food and clothing
196,177364,128061,6,0.7220236350104869,Poor
197,41138,22189,1,0.5393796489863386,Adequate food and clothing
198,212782,127832,5,0.6007651023112858,Poor
199,242970,105256,8,0.4332057455652961,Fairly well-off
200,81836,62503,4,0.7637592257686104,Poor
201,133045,91993,6,0.691442744935924,Poor
202,92955,62989,2,0.6776289602495831,Poor
203,248250,104484,3,0.4208821752265861,Fairly well-off
204,135597,85763,4,0.632484494494716,Poor
205,141000,104389,6,0.7403475177304965,Poor
206,132053,90846,6,0.6879510499572141,Poor
207,173621,62063,5,0.3574625189349215,Relatively prosperous
208,74843,36052,2,0.48170169554935,Fairly well-off
209,180521,71774,2,0.39759363176583334,Relatively prosperous
210,148243,98443,7,0.6640650823310376,Poor
211,211154,93387,6,0.4422696231186717,Fairly well-off
212,269702,27529,2,0.10207191641144671,Wealthy
213,222351,103206,9,0.4641580204271625,Fairly well-off
214,135602,47693,1,0.3517131015766729,Relatively prosperous
215,295225,112200,6,0.38004911508171735,Relatively prosperous
216,419138,65512,4,0.15630174310131748,Wealthy
217,357946,104620,4,0.29227872360635404,Prosperous
218,533840,111206,2,0.20831335231530046,Prosperous
219,107867,39359,2,0.3648845337313544,Relatively prosperous
220,104656,47992,2,0.4585690261427916,Fairly well-off
221,140329,60553,2,0.43150738621382606,Fairly well-off
222,92719,54761,3,0.5906124958207055,Adequate food and clothing
223,144398,83332,5,0.5770994058089447,Adequate food and clothing
224,87069,62245,5,0.7148927861810748,Poor
225,129628,153540,4,1.1844663190051532,Poor
226,120140,67330,4,0.560429498917929,Adequate food and clothing
227,438261,100370,4,0.2290187810459977,Prosperous
228,383498,77175,5,0.20123964140621334,Prosperous
230,117904,65370,4,0.5544341158908943,Adequate food and clothing
231,213286,80490,8,0.3773806063220277,Relatively prosperous
232,108801,47437,2,0.4359978309022895,Fairly well-off
233,166275,66602,5,0.40055330025560065,Fairly well-off
234,72826,55993,3,0.7688600225194299,Poor
235,122335,89906,10,0.7349164180324519,Poor
236,156865,50708,2,0.3232588531539859,Relatively prosperous
237,117841,55192,3,0.4683599086905237,Fairly well-off
238,103260,48660,5,0.47123765252760025,Fairly well-off
239,95622,47654,4,0.4983581184246303,Fairly well-off
240,115450,32746,2,0.2836379385015158,Prosperous
241,121453,58522,3,0.48184894568269204,Fairly well-off
242,207425,108722,7,0.524150897914909,Adequate food and clothing
243,162723,102594,8,0.6304824763555245,Poor
244,91835,59271,4,0.6454075243643491,Poor
245,65220,58349,4,0.8946488807114382,Poor
246,261545,76109,6,0.2909977250568736,Prosperous
247,101515,69480,5,0.684430872284884,Poor
248,64113,55424,5,0.8644736636875516,Poor
249,120500,79480,8,0.6595850622406639,Poor
250,98429,78588,7,0.7984232289264342,Poor
251,47420,24004,1,0.5061999156474062,Adequate food and clothing
252,76455,86244,8,1.1280360996664704,Poor
253,66030,39588,2,0.5995456610631531,Adequate food and clothing
254,135875,67890,6,0.4996504139834407,Fairly well-off
255,72695,34311,1,0.4719856936515579,Fairly well-off
256,294886,99592,6,0.3377305128083395,Relatively prosperous
257,42265,27599,1,0.6529989352892465,Poor
258,159545,30457,4,0.19089911937071047,Wealthy
259,110775,54801,4,0.4947054840893703,Fairly well-off
260,174155,53155,3,0.3052166173810686,Relatively prosperous
261,349579,63465,4,0.18154694646989664,Wealthy
262,104895,46226,2,0.440688307354974,Fairly well-off
263,157759,76577,4,0.4854049531247029,Fairly well-off
264,103545,51053,2,0.4930513303394659,Fairly well-off
265,208074,89924,4,0.4321731691609716,Fairly well-off
266,164464,74331,7,0.45195909135129875,Fairly well-off
267,145666,79612,5,0.5465379704254939,Adequate food and clothing
268,158977,94207,5,0.5925825748378696,Adequate food and clothing
269,158061,68256,4,0.43183327955662687,Fairly well-off
270,167888,87262,3,0.5197631754503002,Adequate food and clothing
271,125284,79565,5,0.6350771048178538,Poor
272,183770,83931,3,0.45671763617565436,Fairly well-off
273,521338,145444,7,0.2789821574487185,Prosperous
274,157183,85129,8,0.5415916479517505,Adequate food and clothing
275,162125,42476,1,0.2619953739398612,Prosperous
276,94526,63345,3,0.6701330850771217,Poor
277,153195,48842,3,0.3188224158751917,Relatively prosperous
278,193810,90109,4,0.46493472989009854,Fairly well-off
279,182344,64202,7,0.35209274777343924,Relatively prosperous
280,336128,77820,1,0.23151894516374713,Prosperous
281,237680,82489,5,0.3470590710198586,Relatively prosperous
282,82946,52483,5,0.6327369613965713,Poor
283,184632,87241,6,0.47251289050652107,Fairly well-off
284,115317,69449,2,0.6022442484629326,Poor
285,83838,75192,2,0.8968725398983755,Poor
286,206668,31191,1,0.15092321985019452,Wealthy
287,100004,54876,3,0.5487380504779809,Adequate food and clothing
288,88411,68155,6,0.7708882378889504,Poor
289,98304,74987,6,0.7628072102864584,Poor
290,136952,85602,6,0.6250511127986448,Poor
291,144470,92963,6,0.643476154218869,Poor
292,79984,63509,6,0.7940213042608522,Poor
293,98648,45052,3,0.45669450977211906,Fairly well-off
294,71260,52127,2,0.7315043502666293,Poor
295,140033,70216,4,0.5014246641862989,Adequate food and clothing
296,821833,169516,6,0.20626574985428914,Prosperous
297,163014,73984,6,0.4538505895199185,Fairly well-off
298,81900,38816,5,0.47394383394383394,Fairly well-off
299,46160,26523,5,0.5745883882149047,Adequate food and clothing
300,90330,39671,8,0.4391785674748146,Fairly well-off
301,34935,15426,2,0.44156290253327607,Fairly well-off
302,45482,20933,2,0.4602480102018381,Fairly well-off
303,80651,38096,5,0.47235620141101786,Fairly well-off
304,109764,55981,4,0.5100123902190153,Adequate food and clothing
305,335426,87341,5,0.26038828236332306,Prosperous
306,384167,88383,5,0.23006400862125065,Prosperous
307,122035,57017,5,0.4672184209448109,Fairly well-off
308,135150,54466,3,0.40300406955234924,Fairly well-off
309,79815,23415,1,0.293365908663785,Prosperous
310,127335,46409,5,0.3644638159186398,Relatively prosperous
311,59458,18329,2,0.30826802112415486,Relatively prosperous
312,172268,84121,5,0.4883147189263241,Fairly well-off
313,89510,36762,4,0.41070271478047143,Fairly well-off
314,259070,71421,5,0.27568224804107,Prosperous
315,56966,47421,4,0.8324439139135624,Poor
316,208273,89519,4,0.42981567461936976,Fairly well-off
317,40444,27410,4,0.6777272277717338,Poor
318,61523,48394,8,0.7866001332834874,Poor
319,133156,75078,8,0.5638349004175554,Adequate food and clothing
320,144686,95437,7,0.6596146137152178,Poor
321,303605,58580,5,0.19294807397770128,Wealthy
322,358410,72599,6,0.20255852236265728,Prosperous
323,71898,56792,7,0.7898967982419539,Poor
324,48170,34757,3,0.7215486817521278,Poor
325,68145,62982,5,0.9242350869469513,Poor
326,54480,27377,1,0.502514684287812,Adequate food and clothing
327,95228,46023,2,0.4832927290292771,Fairly well-off
328,76920,36802,2,0.47844513780551223,Fairly well-off
329,200648,99634,7,0.4965611419002432,Fairly well-off
331,163508,111789,7,0.683691317856007,Poor
332,133016,50479,3,0.37949569976544173,Relatively prosperous
333,478701,118660,8,0.2478791563000704,Prosperous
334,131699,103235,7,0.7838707962854692,Poor
335,176618,83044,5,0.47018990136905636,Fairly well-off
336,173995,75876,4,0.4360814965947297,Fairly well-off
337,233100,132484,6,0.5683569283569283,Adequate food and clothing
338,297366,103494,1,0.34803575391941244,Relatively prosperous
339,201271,82453,4,0.4096616005286405,Fairly well-off
340,879038,156084,5,0.17756228968486004,Wealthy
341,397440,170599,7,0.42924466586151366,Fairly well-off
342,342207,74885,2,0.21882953884637077,Prosperous
343,718238,180371,8,0.25112984832325774,Prosperous
344,124140,57186,3,0.46065732237796037,Fairly well-off
345,511900,166848,4,0.32593865989451065,Relatively prosperous
346,275938,104699,3,0.3794294370474527,Relatively prosperous
347,1107119,122507,4,0.11065386828335527,Wealthy
348,327272,116225,3,0.35513273362829695,Relatively prosperous
349,242800,67405,2,0.2776153212520593,Prosperous
350,647108,162785,5,0.2515576997966336,Prosperous
351,352952,93499,2,0.2649057095582402,Prosperous
352,212350,58678,2,0.27632681893101013,Prosperous
353,755000,167138,5,0.22137483443708608,Prosperous
354,297180,129340,6,0.43522444309845887,Fairly well-off
355,243548,121377,4,0.4983699311839966,Fairly well-off
356,375770,120955,5,0.3218857279718977,Relatively prosperous
357,50722,32554,1,0.6418122313788889,Poor
358,30367,17618,1,0.5801692626864688,Adequate food and clothing
359,152834,94653,4,0.6193189996990198,Poor
360,92243,37572,4,0.40731546025172644,Fairly well-off
361,85409,43050,5,0.5040452411338383,Adequate food and clothing
362,67940,32955,3,0.48506034736532233,Fairly well-off
363,108468,75333,6,0.6945181989158092,Poor
364,370960,103719,6,0.27959618287686006,Prosperous
365,90946,52563,3,0.5779583489103424,Adequate food and clothing
366,23253,15129,1,0.6506257257128113,Poor
367,172427,118463,7,0.687032773289566,Poor
368,59415,35895,4,0.6041403685937895,Poor
369,106323,51626,4,0.4855581576893052,Fairly well-off
370,221671,124464,6,0.561480753007836,Adequate food and clothing
371,95212,72330,6,0.7596731504432215,Poor
372,89356,45735,4,0.5118290881418147,Adequate food and clothing
373,1570874,220630,5,0.14045047534047925,Wealthy
374,963550,34879,2,0.03619843287841835,Wealthy
375,115208,54891,2,0.4764512881049927,Fairly well-off
376,714506,144639,2,0.20243216991879703,Prosperous
377,92319,69082,5,0.7482966669916269,Poor
378,681291,110989,5,0.1629098285460985,Wealthy
379,1044680,170469,4,0.1631781981085117,Wealthy
380,379500,80405,3,0.21187088274044796,Prosperous
381,342410,105485,7,0.30806635320230136,Relatively prosperous
382,234774,71125,3,0.3029509230153254,Relatively prosperous
383,310538,95994,6,0.3091215889842789,Relatively prosperous
384,130820,97088,10,0.7421495184222596,Poor
385,323633,135102,6,0.41745433871082366,Fairly well-off
386,112260,49360,3,0.4396935685016925,Fairly well-off
387,380868,255846,10,0.6717445414159237,Poor
388,241920,56243,4,0.23248594576719578,Prosperous
389,108593,55720,5,0.513108579742709,Adequate food and clothing
390,164268,86030,5,0.5237173399566561,Adequate food and clothing
391,230644,77006,4,0.333873848875323,Relatively prosperous
392,287585,153658,5,0.5343046403671958,Adequate food and clothing
393,294500,121076,6,0.4111239388794567,Fairly well-off
394,141098,69811,6,0.49476959276531207,Fairly well-off
395,176280,65935,4,0.3740356251418198,Relatively prosperous
396,67506,39894,4,0.5909696915829704,Adequate food and clothing
397,93432,32139,2,0.3439827896223992,Relatively prosperous
398,71980,14529,1,0.20184773548207835,Prosperous
399,84920,55045,5,0.6481983042863871,Poor
400,159600,95680,3,0.5994987468671679,Adequate food and clothing
401,162948,69812,6,0.4284311559515919,Fairly well-off
402,168226,99627,3,0.592221178652527,Adequate food and clothing
403,76769,35410,2,0.46125389154476415,Fairly well-off
404,139057,42834,4,0.3080319581178941,Relatively prosperous
405,350128,109248,9,0.31202303157702327,Relatively prosperous
407,68429,49817,2,0.7280100542167794,Poor
408,419430,175659,6,0.41880409126671914,Fairly well-off
409,299196,106288,6,0.35524539098116287,Relatively prosperous
410,88893,45549,2,0.5124025513819985,Adequate food and clothing
411,148472,85140,5,0.5734414569750526,Adequate food and clothing
412,136572,52245,4,0.3825454705210438,Relatively prosperous
413,116682,69185,4,0.5929363569359456,Adequate food and clothing
414,109842,63182,5,0.5752080260738152,Adequate food and clothing
415,189194,95113,5,0.5027273592185799,Adequate food and clothing
416,193805,117348,5,0.605495214261758,Poor
417,176698,72389,4,0.4096763970163782,Fairly well-off
418,371060,67835,3,0.182814100145529,Wealthy
419,218540,75920,3,0.3473963576461975,Relatively prosperous
420,206199,122592,7,0.5945324662098265,Adequate food and clothing
421,122713,72625,6,0.5918280866737835,Adequate food and clothing
422,161963,79023,4,0.48790773201286713,Fairly well-off
423,141306,86565,6,0.6126066833680098,Poor
424,59839,35812,4,0.5984725680576213,Adequate food and clothing
425,61415,48811,5,0.7947732638606204,Poor
426,29174,16663,1,0.5711592513882224,Adequate food and clothing
427,92399,60926,6,0.6593794305133173,Poor
428,104633,72262,5,0.6906234170863876,Poor
429,116683,50153,4,0.4298226819673817,Fairly well-off
430,100687,57724,5,0.5733014192497542,Adequate food and clothing
431,81452,35564,2,0.4366252516819722,Fairly well-off
432,89722,66817,8,0.7447114420097635,Poor
433,95224,66427,6,0.69758674283794,Poor
434,78874,57693,5,0.7314577680858078,Poor
435,212760,64805,4,0.3045920285768002,Relatively prosperous
436,314739,161834,7,0.514184768967303,Adequate food and clothing
437,101717,77194,8,0.7589095234818172,Poor
438,181293,71960,9,0.3969265222595467,Relatively prosperous
439,301538,99617,4,0.33036300565766175,Relatively prosperous
440,74280,53561,5,0.7210689283791061,Poor
441,126500,67646,5,0.5347509881422925,Adequate food and clothing
442,217666,91666,3,0.42113145828930565,Fairly well-off
443,206211,122827,9,0.5956374781170742,Adequate food and clothing
444,169742,88877,3,0.5236005231468935,Adequate food and clothing
445,134277,58216,8,0.43355153898284887,Fairly well-off
446,129257,69469,8,0.5374486488159249,Adequate food and clothing
447,209483,135702,10,0.6477948091253228,Poor
448,112990,46873,3,0.4148420214178246,Fairly well-off
449,202140,99962,6,0.4945186504402889,Fairly well-off
450,29358,13848,2,0.47169425710198243,Fairly well-off
451,335167,140208,4,0.41832280624285806,Fairly well-off
452,134281,97845,6,0.7286585592898475,Poor
453,540882,231330,8,0.4276903280197899,Fairly well-off
454,224252,43190,2,0.19259582969159694,Wealthy
455,80340,56463,2,0.7028005974607916,Poor
456,138830,66097,6,0.4761002665130015,Fairly well-off
457,225890,109306,3,0.4838903891274514,Fairly well-off
458,453130,83440,3,0.184141416370578,Wealthy
459,150310,72682,4,0.48354733550661966,Fairly well-off
460,1538900,525265,9,0.3413249723828709,Relatively prosperous
461,97615,34253,3,0.35089893971213443,Relatively prosperous
462,111876,77138,8,0.6894955128892702,Poor
463,221760,98005,7,0.4419417388167388,Fairly well-off
464,173848,67835,5,0.3901971837467213,Relatively prosperous
465,214630,96846,6,0.4512230349904487,Fairly well-off
466,146110,64062,3,0.43845048251317503,Fairly well-off
467,322000,130348,4,0.40480745341614904,Fairly well-off
468,146020,35728,2,0.24467881112176415,Prosperous
469,194644,101943,9,0.5237407780357987,Adequate food and clothing
470,462847,169033,7,0.36520275598631946,Relatively prosperous
471,263158,46219,2,0.1756321297471481,Wealthy
472,190305,116480,5,0.612070098000578,Poor
473,161541,91340,3,0.5654292099219393,Adequate food and clothing
474,123197,54899,4,0.44561961736081235,Fairly well-off
475,383454,102942,4,0.26845984133690093,Prosperous
476,59748,30000,1,0.502108857200241,Adequate food and clothing
477,90022,50883,2,0.5652284997000733,Adequate food and clothing
478,673434,258556,9,0.3839366589747473,Relatively prosperous
479,86970,44143,3,0.507565827296769,Adequate food and clothing
480,116883,36937,2,0.31601687157242714,Relatively prosperous
481,25584,8361,1,0.3268058161350844,Relatively prosperous
482,151127,91994,5,0.6087198184308562,Poor
483,130339,64126,3,0.49199395422705405,Fairly well-off
484,70531,36763,1,0.5212317987835137,Adequate food and clothing
485,93747,54204,5,0.5781945022240712,Adequate food and clothing
486,341210,111255,10,0.32606019753231147,Relatively prosperous
487,129644,123341,6,0.9513822467680726,Poor
488,159844,73492,5,0.4597732789469733,Fairly well-off
489,27413,20599,1,0.7514318024295042,Poor
490,306692,87801,3,0.28628395915120053,Prosperous
491,145708,63299,2,0.43442364180415627,Fairly well-off
492,637430,149631,4,0.23474106960764318,Prosperous
493,218563,72954,5,0.3337893422033922,Relatively prosperous
494,276320,63560,4,0.23002316155182398,Prosperous
495,729200,189174,5,0.25942676906198575,Prosperous
496,339570,150472,7,0.4431251288394146,Fairly well-off
497,515601,120226,3,0.23317642906045566,Prosperous
498,305992,100752,5,0.3292635101571283,Relatively prosperous
499,236605,74240,2,0.3137718983115319,Relatively prosperous
500,312633,83691,4,0.26769726804272104,Prosperous
501,193909,100687,6,0.5192487197603,Adequate food and clothing
503,39800,18072,1,0.45407035175879396,Fairly well-off
504,145800,94063,8,0.6451508916323732,Poor
505,612910,153469,6,0.2503940219608099,Prosperous
506,320180,42251,1,0.1319601474170779,Wealthy
507,271203,96848,10,0.3571051942640753,Relatively prosperous
508,506780,112527,4,0.2220430956233474,Prosperous
509,228870,96042,5,0.41963560099619873,Fairly well-off
510,132070,87512,5,0.6626183084727796,Poor
511,398015,178706,6,0.4489931283996834,Fairly well-off
512,120090,87566,6,0.7291697893246731,Poor
513,399215,241070,8,0.6038600753979685,Poor
514,141277,78549,7,0.5559928367674851,Adequate food and clothing
515,116805,79756,6,0.6828132357347716,Poor
516,231880,114536,4,0.4939451440400207,Fairly well-off
517,94918,55607,6,0.5858425166986241,Adequate food and clothing
518,155025,86576,4,0.5584647637477826,Adequate food and clothing
519,660738,114838,4,0.17380262675977468,Wealthy
520,116055,88044,4,0.758640299857826,Poor
521,295156,126225,7,0.42765520606052393,Fairly well-off
522,427976,104252,1,0.24359309867843057,Prosperous
523,247002,76896,2,0.3113173172686861,Relatively prosperous
524,234661,119905,3,0.5109711456100502,Adequate food and clothing
525,79019,37660,2,0.47659423682911706,Fairly well-off
526,100658,52374,3,0.5203163186234576,Adequate food and clothing
527,134573,49407,2,0.36713902491584494,Relatively prosperous
528,197672,72971,7,0.3691519284471245,Relatively prosperous
529,344190,111473,3,0.3238705366222145,Relatively prosperous
531,273820,117996,6,0.4309254254619823,Fairly well-off
532,96300,28822,1,0.2992938733125649,Prosperous
533,144737,91021,7,0.6288716775945336,Poor
534,136122,60567,2,0.44494644510071846,Fairly well-off
535,646260,235384,6,0.3642249249528054,Relatively prosperous
536,136069,73707,4,0.5416884080870735,Adequate food and clothing
537,56106,29421,4,0.5243824189926211,Adequate food and clothing
538,57875,51076,4,0.8825226781857451,Poor
539,130474,48243,2,0.36975182795039624,Relatively prosperous
540,68657,38945,4,0.567240048356322,Adequate food and clothing
541,335098,131890,10,0.3935863538427564,Relatively prosperous
