,income,food,member
168,329067,71267,4
169,148580,40210,4
170,164046,41911,3
171,312610,61587,5
172,134410,96729,2
173,541874,72496,5
174,125695,88944,9
175,78480,29889,3
176,163530,66330,7
177,162480,50381,4
178,151395,59989,5
179,95975,45212,5
180,77275,34475,4
181,96370,54271,6
182,1051758,238375,8
183,143650,102403,8
184,211703,124068,4
185,101290,77440,2
186,383617,124651,5
187,119143,93994,8
188,110848,84962,6
189,131847,88115,6
190,184738,67950,2
191,115140,85771,6
192,120690,102806,7
193,79995,63149,4
194,121986,76516,3
195,134555,76259,4
196,177364,128061,6
197,41138,22189,1
198,212782,127832,5
199,242970,105256,8
200,81836,62503,4
201,133045,91993,6
202,92955,62989,2
203,248250,104484,3
204,135597,85763,4
205,141000,104389,6
206,132053,90846,6
207,173621,62063,5
208,74843,36052,2
209,180521,71774,2
210,148243,98443,7
211,211154,93387,6
212,269702,27529,2
213,222351,103206,9
214,135602,47693,1
215,295225,112200,6
216,419138,65512,4
217,357946,104620,4
218,533840,111206,2
219,107867,39359,2
220,104656,47992,2
221,140329,60553,2
222,92719,54761,3
223,144398,83332,5
224,87069,62245,5
225,129628,153540,4
226,120140,67330,4
227,438261,100370,4
228,383498,77175,5
229,275729,126018,13
230,117904,65370,4
231,213286,80490,8
232,108801,47437,2
233,166275,66602,5
234,72826,55993,3
235,122335,89906,10
236,156865,50708,2
237,117841,55192,3
238,103260,48660,5
239,95622,47654,4
240,115450,32746,2
241,121453,58522,3
242,207425,108722,7
243,162723,102594,8
244,91835,59271,4
245,65220,58349,4
246,261545,76109,6
247,101515,69480,5
248,64113,55424,5
249,120500,79480,8
250,98429,78588,7
251,47420,24004,1
252,76455,86244,8
253,66030,39588,2
254,135875,67890,6
255,72695,34311,1
256,294886,99592,6
257,42265,27599,1
258,159545,30457,4
259,110775,54801,4
260,174155,53155,3
261,349579,63465,4
262,104895,46226,2
263,157759,76577,4
264,103545,51053,2
265,208074,89924,4
266,164464,74331,7
267,145666,79612,5
268,158977,94207,5
269,158061,68256,4
270,167888,87262,3
271,125284,79565,5
272,183770,83931,3
273,521338,145444,7
274,157183,85129,8
275,162125,42476,1
276,94526,63345,3
277,153195,48842,3
278,193810,90109,4
279,182344,64202,7
280,336128,77820,1
281,237680,82489,5
282,82946,52483,5
283,184632,87241,6
284,115317,69449,2
285,83838,75192,2
286,206668,31191,1
287,100004,54876,3
288,88411,68155,6
289,98304,74987,6
290,136952,85602,6
291,144470,92963,6
292,79984,63509,6
293,98648,45052,3
294,71260,52127,2
295,140033,70216,4
296,821833,169516,6
297,163014,73984,6
298,81900,38816,5
299,46160,26523,5
300,90330,39671,8
301,34935,15426,2
302,45482,20933,2
303,80651,38096,5
304,109764,55981,4
305,335426,87341,5
306,384167,88383,5
307,122035,57017,5
308,135150,54466,3
309,79815,23415,1
310,127335,46409,5
311,59458,18329,2
312,172268,84121,5
313,89510,36762,4
314,259070,71421,5
315,56966,47421,4
316,208273,89519,4
317,40444,27410,4
318,61523,48394,8
319,133156,75078,8
320,144686,95437,7
321,303605,58580,5
322,358410,72599,6
323,71898,56792,7
324,48170,34757,3
325,68145,62982,5
326,54480,27377,1
327,95228,46023,2
328,76920,36802,2
329,200648,99634,7
330,127332,86786,12
331,163508,111789,7
332,133016,50479,3
333,478701,118660,8
334,131699,103235,7
335,176618,83044,5
336,173995,75876,4
337,233100,132484,6
338,297366,103494,1
339,201271,82453,4
340,879038,156084,5
341,397440,170599,7
342,342207,74885,2
343,718238,180371,8
344,124140,57186,3
345,511900,166848,4
346,275938,104699,3
347,1107119,122507,4
348,327272,116225,3
349,242800,67405,2
350,647108,162785,5
351,352952,93499,2
352,212350,58678,2
353,755000,167138,5
354,297180,129340,6
355,243548,121377,4
356,375770,120955,5
357,50722,32554,1
358,30367,17618,1
359,152834,94653,4
360,92243,37572,4
361,85409,43050,5
362,67940,32955,3
363,108468,75333,6
364,370960,103719,6
365,90946,52563,3
366,23253,15129,1
367,172427,118463,7
368,59415,35895,4
369,106323,51626,4
370,221671,124464,6
371,95212,72330,6
372,89356,45735,4
373,1570874,220630,5
374,963550,34879,2
375,115208,54891,2
376,714506,144639,2
377,92319,69082,5
378,681291,110989,5
379,1044680,170469,4
380,379500,80405,3
381,342410,105485,7
382,234774,71125,3
383,310538,95994,6
384,130820,97088,10
385,323633,135102,6
386,112260,49360,3
387,380868,255846,10
388,241920,56243,4
389,108593,55720,5
390,164268,86030,5
391,230644,77006,4
392,287585,153658,5
393,294500,121076,6
394,141098,69811,6
395,176280,65935,4
396,67506,39894,4
397,93432,32139,2
398,71980,14529,1
399,84920,55045,5
400,159600,95680,3
401,162948,69812,6
402,168226,99627,3
403,76769,35410,2
404,139057,42834,4
405,350128,109248,9
406,277911,139049,11
407,68429,49817,2
408,419430,175659,6
409,299196,106288,6
410,88893,45549,2
411,148472,85140,5
412,136572,52245,4
413,116682,69185,4
414,109842,63182,5
415,189194,95113,5
416,193805,117348,5
417,176698,72389,4
418,371060,67835,3
419,218540,75920,3
420,206199,122592,7
421,122713,72625,6
422,161963,79023,4
423,141306,86565,6
424,59839,35812,4
425,61415,48811,5
426,29174,16663,1
427,92399,60926,6
428,104633,72262,5
429,116683,50153,4
430,100687,57724,5
431,81452,35564,2
432,89722,66817,8
433,95224,66427,6
434,78874,57693,5
435,212760,64805,4
436,314739,161834,7
437,101717,77194,8
438,181293,71960,9
439,301538,99617,4
440,74280,53561,5
441,126500,67646,5
442,217666,91666,3
443,206211,122827,9
444,169742,88877,3
445,134277,58216,8
446,129257,69469,8
447,209483,135702,10
448,112990,46873,3
449,202140,99962,6
450,29358,13848,2
451,335167,140208,4
452,134281,97845,6
453,540882,231330,8
454,224252,43190,2
455,80340,56463,2
456,138830,66097,6
457,225890,109306,3
458,453130,83440,3
459,150310,72682,4
460,1538900,525265,9
461,97615,34253,3
462,111876,77138,8
463,221760,98005,7
464,173848,67835,5
465,214630,96846,6
466,146110,64062,3
467,322000,130348,4
468,146020,35728,2
469,194644,101943,9
470,462847,169033,7
471,263158,46219,2
472,190305,116480,5
473,161541,91340,3
474,123197,54899,4
475,383454,102942,4
476,59748,30000,1
477,90022,50883,2
478,673434,258556,9
479,86970,44143,3
480,116883,36937,2
481,25584,8361,1
482,151127,91994,5
483,130339,64126,3
484,70531,36763,1
485,93747,54204,5
486,341210,111255,10
487,129644,123341,6
488,159844,73492,5
489,27413,20599,1
490,306692,87801,3
491,145708,63299,2
492,637430,149631,4
493,218563,72954,5
494,276320,63560,4
495,729200,189174,5
496,339570,150472,7
497,515601,120226,3
498,305992,100752,5
499,236605,74240,2
500,312633,83691,4
501,193909,100687,6
502,395092,241786,15
503,39800,18072,1
504,145800,94063,8
505,612910,153469,6
506,320180,42251,1
507,271203,96848,10
508,506780,112527,4
509,228870,96042,5
510,132070,87512,5
511,398015,178706,6
512,120090,87566,6
513,399215,241070,8
514,141277,78549,7
515,116805,79756,6
516,231880,114536,4
517,94918,55607,6
518,155025,86576,4
519,660738,114838,4
520,116055,88044,4
521,295156,126225,7
522,427976,104252,1
523,247002,76896,2
524,234661,119905,3
525,79019,37660,2
526,100658,52374,3
527,134573,49407,2
528,197672,72971,7
529,344190,111473,3
530,1606308,720007,17
531,273820,117996,6
532,96300,28822,1
533,144737,91021,7
534,136122,60567,2
535,646260,235384,6
536,136069,73707,4
537,56106,29421,4
538,57875,51076,4
539,130474,48243,2
540,68657,38945,4
541,335098,131890,10
542,172405,93381,4
543,72820,66933,3
544,109883,69962,5
545,51210,35140,4
546,119960,60407,6
547,149700,55732,1
548,544170,139663,4
549,281201,89024,6
550,1796730,195380,5
551,135124,85964,5
552,205266,77650,3
553,186550,72838,1
554,92556,56957,7
555,171251,63036,6
556,57769,35023,4
557,150384,69105,4
558,848240,197701,7
559,71852,42375,3
560,568492,116229,2
561,101922,56726,5
562,97470,46308,2
563,169410,108508,10
564,346780,70144,2
565,537600,136581,5
566,96151,46037,2
567,101700,57814,3
568,378401,114242,4
569,229075,104343,4
570,102715,67417,3
571,164841,91508,6
572,85745,52282,2
573,309092,105843,5
574,176883,66319,4
575,161185,37643,2
576,40226,25060,1
577,690190,168827,7
578,90844,36600,4
579,371698,40917,3
580,119461,71180,4
581,79040,55512,4
582,207993,73980,5
583,205627,150695,14
584,133779,67180,7
585,214563,167756,8
586,89888,57291,1
587,84693,45197,1
588,162774,46231,1
589,167506,90167,9
590,67502,55773,2
591,118228,136027,4
592,85420,59564,3
593,145195,86169,7
594,583168,193319,4
595,131810,92531,12
596,390226,153235,4
597,99078,60755,4
598,131780,58876,5
599,276776,93197,5
600,175800,108246,6
601,108313,61881,6
602,195240,78704,8
603,123955,58446,3
604,118920,77160,4
605,203275,90621,4
606,177839,82897,4
607,52479,28692,5
608,125948,40914,4
609,400862,77248,3
610,113693,59000,4
611,80541,52280,4
612,78238,38920,4
613,196975,74828,3
614,176410,66256,3
615,654500,96940,3
616,445855,187803,7
617,152360,50965,2
618,567050,109231,4
619,320311,131384,5
620,598948,162253,5
621,236626,128756,8
622,129798,64044,4
623,110290,52707,3
624,155173,44945,2
625,191806,118200,10
626,106268,58279,7
627,27795,18052,1
628,177473,85381,4
629,153353,98039,7
630,107023,61498,8
631,63064,49563,6
632,54640,33433,4
633,48905,36379,6
634,113531,94137,7
635,122720,73271,5
636,50065,41558,3
637,46709,39134,3
638,14691,7676,1
639,108395,80781,7
640,111439,51292,3
641,58798,39443,7
642,83747,55204,6
643,77740,30666,3
644,54381,41001,5
645,167412,65407,3
646,68465,48777,5
647,72861,52457,6
648,52245,29211,3
649,23855,19108,1
650,101256,64297,5
651,30294,19072,1
652,20688,16977,1
653,37078,24551,1
654,204550,41334,2
655,121627,70696,7
656,96612,38770,2
657,146828,72808,6
658,85551,53949,5
659,119894,86179,7
660,407053,98336,5
661,62435,34966,4
662,185577,103936,7
663,59604,44098,7
664,120596,60621,5
665,83193,64946,6
666,77651,45714,3
667,72210,45353,5
668,66352,51906,8
669,59672,40092,2
670,68125,45273,4
671,140611,54578,3
672,98965,59932,5
673,73224,49576,4
674,101802,53684,3
675,57553,44832,4
676,136527,73772,10
677,199545,115215,8
678,362818,146772,17
679,81712,54452,4
680,124676,66389,5
681,39732,20852,2
682,71375,51481,4
683,44202,37446,3
684,82184,42962,5
685,73674,50628,8
686,140115,62906,3
687,137855,65779,5
688,139238,56028,4
689,128552,62398,5
690,420920,90911,2
691,150360,60568,4
692,632120,115485,4
693,201280,61514,2
694,197287,86220,6
695,387164,137360,3
696,103880,57139,5
697,165906,66714,4
698,295600,86660,4
699,66252,16764,1
700,93020,37701,4
701,121390,59661,3
702,642630,269303,7
703,154990,68961,4
704,112128,53818,2
705,228063,132660,6
706,177157,77110,4
707,136980,111914,7
708,267630,123334,7
709,150096,48435,2
710,179509,115607,6
711,625096,177424,6
712,119103,61420,3
713,127471,76670,4
714,102080,61598,1
715,381970,84813,3
716,84976,62281,2
717,410000,143332,9
718,19581,14188,2
719,161279,70194,6
720,122469,61053,5
721,113292,56503,5
722,76052,45755,3
723,61470,39822,3
724,1280422,123790,6
725,49700,29275,1
726,111338,61638,5
727,103064,68956,6
728,134358,66762,9
729,37902,25690,2
730,44184,34952,4
731,48255,30774,3
732,64455,47534,8
733,51074,41795,4
734,40649,29480,4
735,96956,65412,8
736,76460,54181,8
737,42806,28900,1
738,148742,66790,6
739,146786,49207,3
740,183827,80835,7
741,580160,144611,7
742,270835,78280,5
743,149640,101626,4
744,255060,108830,5
745,143552,94463,7
746,269001,165207,4
747,447170,43149,1
748,117837,56980,5
749,121962,52567,3
750,542660,138516,7
751,285520,97832,4
752,58329,27433,2
753,242172,135028,5
754,455683,133573,2
755,55080,40257,2
756,119115,64447,8
757,80704,45648,5
758,128718,87250,5
759,169182,111407,8
760,116316,94619,11
761,164939,62576,4
762,125877,61471,3
763,35384,13394,1
764,493311,257754,12
765,187533,105886,12
766,140501,53480,6
767,457006,132644,3
768,303063,74519,8
769,114198,55932,2
770,188066,82725,3
771,132104,55992,4
772,95469,63506,8
773,174591,51335,4
774,72510,42893,5
775,128763,54694,5
776,193723,58865,5
777,95261,65976,6
778,78840,59506,8
779,269913,118253,6
780,44415,23822,2
781,159040,49284,2
782,132632,71216,6
783,149776,87336,8
784,177908,85454,6
785,140474,73957,9
786,194956,115961,7
787,142113,63837,4
788,30292,17311,2
789,433096,133517,5
790,23209,10373,1
791,257832,85551,4
792,321310,162706,6
793,69835,43559,3
794,71533,48086,4
795,128523,44456,2
796,32145,19830,2
797,76779,60887,5
798,112140,73067,6
799,78132,74931,9
800,119880,82724,5
801,234880,97444,3
802,71260,24057,2
803,700542,209661,4
804,122779,74226,4
805,206545,82825,10
806,2572904,83588,1
807,183299,83002,7
808,709057,179846,4
809,157518,40025,2
810,97670,48229,8
811,348130,82573,4
812,111856,73034,5
813,115752,51250,2
814,115635,52865,3
815,70276,41110,3
816,84044,39926,3
817,117453,80390,6
818,296776,105863,3
819,102895,45468,3
820,145026,73481,4
821,164417,61112,4
822,32456,17655,1
823,142039,72997,5
824,177079,66248,4
825,27032,23754,1
826,66723,41124,7
827,212613,72044,8
828,143433,83059,6
829,178755,74292,5
830,170549,106008,7
831,106187,79927,11
832,305760,123802,5
833,144754,76525,3
834,182180,101634,12
835,551113,135009,3
836,470266,60139,1
837,118926,73028,4
838,170326,95119,6
839,127481,91486,4
840,126558,86976,4
841,89364,40736,4
842,92381,33886,1
843,50194,35240,4
844,137490,76621,5
845,60212,48671,3
846,35790,23581,1
847,23973,16966,1
848,619553,103794,9
849,81129,47742,6
850,259540,86780,8
851,77132,56974,4
852,76256,44533,6
853,138866,57477,4
854,110203,57782,9
855,32587,25736,2
856,40922,15352,1
857,101605,47432,4
858,96801,37328,3
859,156331,55200,6
860,172023,83120,8
861,233160,69613,11
862,89809,70695,10
863,212164,106305,6
864,117807,67017,6
865,216999,52045,3
866,139936,66865,5
867,81006,48742,4
868,48397,26811,2
869,88740,52465,3
870,75012,71988,4
871,47686,24556,2
872,235347,98748,3
873,146450,79893,6
874,277002,117663,9
875,634643,161428,2
876,781605,117271,4
877,142184,102550,9
878,53537,33815,2
879,87082,40438,4
880,222985,64570,8
881,91722,46016,5
882,124504,66694,9
883,373733,102419,8
884,126550,56437,5
885,130352,58208,4
886,508366,86107,2
887,69189,32359,2
888,117166,84565,11
889,92564,62950,8
890,83936,65971,9
891,60609,31912,4
892,49855,38270,4
893,112662,60473,5
894,153619,98616,8
895,63195,45745,2
896,98855,53929,6
897,133500,88783,9
898,89682,44437,4
899,203542,75620,6
900,158596,107052,11
901,124648,87261,8
902,77141,50606,5
903,76683,62656,7
904,120766,54341,4
905,55488,48580,8
906,403672,81486,6
907,92919,80437,8
908,113587,52708,2
909,350394,57598,4
910,124236,102149,6
911,103409,75780,6
912,60429,23888,2
913,58073,34523,2
914,165293,65796,4
915,88795,53559,4
916,56785,37375,5
917,120109,62886,5
918,250708,74474,7
919,64268,40350,6
920,70109,42741,5
921,117308,67716,6
922,132435,109070,7
923,39430,42610,6
924,56847,47019,9
925,138640,88158,3
926,86347,66983,4
927,73210,50602,6
928,63205,46792,7
929,67172,40723,3
930,125030,74505,11
931,73333,70930,4
932,77379,65708,4
933,345612,167847,7
934,87704,54545,6
935,44135,33773,3
936,60399,57808,6
937,173128,69042,4
938,92171,60185,6
939,87817,56297,4
940,82639,54844,5
941,656099,173734,6
942,126269,43629,3
943,111535,70625,6
944,191681,80013,7
945,388172,77945,3
946,80955,50095,2
947,125482,66965,6
948,1114504,168004,3
949,425927,99762,6
950,92555,58062,6
951,1026150,113322,3
952,409990,92862,5
953,402466,91220,4
954,518318,105817,4
955,73245,39626,2
956,239675,63962,4
957,294250,90945,5
958,217102,75759,6
959,87229,53748,8
960,138895,59523,6
961,110604,54245,6
962,56557,36162,2
963,164218,64608,4
964,99178,38428,3
965,149967,48654,4
966,42691,25092,4
967,111945,56147,7
968,83216,55119,4
969,148414,86123,7
970,116292,57264,4
971,94735,60675,6
972,381169,128698,6
973,222868,75715,7
974,98302,32322,2
975,143419,53155,6
976,88286,43682,3
977,109223,73600,8
978,206700,63009,3
979,56481,42268,4
980,138570,56645,4
981,184244,96758,5
982,110090,76444,5
983,840250,104296,3
984,119264,60781,6
985,110475,79119,6
986,198952,162782,7
987,60909,30564,2
988,42895,37971,3
989,57045,37312,2
990,95775,50907,12
991,114340,41744,3
992,94514,57300,8
993,81167,30400,5
994,131870,75067,10
995,120629,55293,4
996,124565,53066,9
997,611276,98442,3
998,574750,128744,3
999,166743,118729,15
